1 | Basic Accounting Concepts 11 | Fisher, a Certified Fraud Examiner was hired to look at certain assets of ABC Company, which may be fraudulently overvalued by management. Fisher determined that the building cost $11.5 million, has a tax value of $11,250,000, and a recent appraisal for $14 million What generally accepted accounting principle governs how this land should be carried on ABC Company's books? | The historical cost principle | The value-added principle | The first-in-first-out principle | The market-to-market principle | 1.116 | Financial Transactions and Fraud Schemes | Basic Accounting Concepts | Historical Cost; Revenue Recognition; Matching; Consistency; Full Disclosure | Historical Cost | Historical Cost Although some exceptions exist, historical cost is, generally, the proper basis for the recording of assets, expenses, equities, etc. For example, a piece of operational machinery should be shown on the balance sheet at initial acquisition cost and not at current market value or an estimated replacement value. |
2 | Cash Receipts Schemes 2 | Which of the following is the most common type of occupational fraud? | Asset misappropriation | Fraudulent financial statements | Bribery | Extortion | 1.401 | Financial Transactions and Fraud Schemes | Cash Receipts Schemes | ASSET MISAPPROPRIATION: CASH RECEIPTS; Skimming | ASSET MISAPPROPRIATION: CASH RECEIPTS | Asset misappropriations are by far the most common of all occupational frauds. There are three major categories of asset misappropriation schemes. Cash receipts schemes will be discussed in this section, fraudulent disbursements of cash will be addressed in the next section, and the following section will cover schemes involving the theft of inventory and other non-cash assets. |
3 | Check and Credit Card Fraud 11 | Persons who are expert at passing phony checks are sometimes called: | Paperhangers | Phonies | Launderers | Checksters | 1.1003 | Financial Transactions and Fraud Schemes | Check and Credit Card Fraud | Check Theft; Check Fraud Schemes; Paperhangers | Paperhangers | Paperhangers Paperhangers are the experts of phony check passing. They frequently pick a particular establishment or store and observe its security methods. Any store that scrutinizes check writers’ identification is not a good target for a paperhanger. However, they will observe and select the least experienced or most lackadaisical of store employees to whom to pass the check. The paperhanger will then ask the clerk for cash back from the transaction and make the check out for an amount greater than the price of the purchase. In some cases, the checks being written are counterfeit; however, in other cases the checks are purposefully being written on a closed account. A variation of this scam is making a fraudulent deposit at a bank and asking for cash back. |
4 | Check and Credit Card Fraud 14 | The practice of recording the deposits of transfers between multiple bank accounts before recording the disbursements is called which of the following? | Kiting | An error | Lapping | Timing differences | 1.1004 | Financial Transactions and Fraud Schemes | Check and Credit Card Fraud | Stop Payment Orders; Check Kiting; Demand Drafts | Check Kiting | Check Kiting Check kiting is one of the original white-collar crimes. It continues to survive even with a financial institution’s ability to detect kiting. In a kiting scheme, multiple bank accounts are opened and money is “deposited” from account to account, although the money never exists. |
5 | Check and Credit Card Fraud 15 | The majority of check fraud in the United States is committed by which of the following? | Foreign crime rings | Individuals | Domestic crime rings | Large corporations | 1.1007 | Financial Transactions and Fraud Schemes | Check and Credit Card Fraud | Check Fraud Rings | Check Fraud Rings | Check Fraud Rings Since the late 1980s, foreign crime rings have been the cause of the majority of check fraud in the U.S. Most major financial institutions attribute more than 50 percent of all check fraud to organized crime rings. In 2007, an international task force monitored the mail in Africa, Europe, and North America and intercepted billions of dollars worth (face-value) of counterfeit checks. |
6 | Check and Credit Card Fraud 4 | One recent innovation has significantly reduced the incidence of check fraud among banks. This technique is which of the following? | Inkless fingerprints | Signature analysis | Electrostatic detection apparatus | Video spectral comparator | 1.1012 | Financial Transactions and Fraud Schemes | Check and Credit Card Fraud | Check Fraud Prevention Tools; CHECK WRITING PENS; FINGERPRINT IDENTIFIERS; FORENSIC DOCUMENT EXAMINATION | FINGERPRINT IDENTIFIERS | FINGERPRINT IDENTIFIERS A biometric fingerprint identifier  requires the check writer to match fingerprints with the account holder’s, which are on file. Banks reported reductions in check fraud of 40 percent after the machine was introduced in the mid-1990s. | 
7 | Check and Credit Card Fraud 8 | Able, a Certified Fraud Examiner, is looking at a check that he suspects is forged. It appears that the forger may have used correction fluid to white out the name of the payee. Able decides that he needs to call in a forensic document specialist. The tool that the specialist will most likely use to reveal the use of correction fluid is a(n): | Video spectral comparator | Biometric fingerprint identifier | Electrostatic detection apparatus | Correction fluid analyzer | 1.1013 | Financial Transactions and Fraud Schemes | Check and Credit Card Fraud | SIGNATURE; HANDWRITING; VIDEO SPECTRAL COMPARATOR; ELECTROSTATIC DETECTION APPARATUS | VIDEO SPECTRAL COMPARATOR | VIDEO SPECTRAL COMPARATOR Forensic examiners use this tool to test questionable documents. The document is examined for photocopying and liquid paper under a controlled light source. Lettering added to a document can be detected with this device. | 
8 | Computer and Internet Fraud 19 | A computer program that contains instruction codes to attack software is commonly referred to as a: | Virus | Hacker | Spoof | Smurf | 1.1816 | Financial Transactions and Fraud Schemes | Computer and Internet Fraud | Computer Viruses | Computer Viruses | A computer virus is a program that contains instruction codes to attack software. The attack might erase data or display a message on the screen. The computer virus can copy itself to other programs. This copy ability can affect large networks. In recent years, viruses have disrupted large networks and caused the expenditure of millions of dollars in staff and machine hours to remove these viruses and restore normal operations. |  
9 | Computer and Internet Fraud 41 | If you are responsible for the backup computer system, which of the following general internal control categories should you find in your company's detailed procedures? | Data file controls | Implementation controls | System software controls | Computer operations | 1.1843 | Financial Transactions and Fraud Schemes | Computer and Internet Fraud | Implementation Controls; Computer Operations; System Software; Data Files | Data Files | Data Files Controls over data files ensure that correct files are used for each production job and that adequate backup files exist. Data-file label bypass options should be disabled. A data file management system should be used to record and locate all data files. Data file backup copies should be made and stored in a secure facility. Off-site backup file copies should be maintained in case of a disaster in the data center. Utilities that can modify data files should be removed from the system and used only under management supervision. Live data files should not be used for testing. | 
10 | Computer and Internet Fraud 42 | If a computer security system includes profiling software, which of the following characteristics would it test for authorized access? | Typing speed | Fingerprints | Signatures | Palm prints | 1.1841 | Financial Transactions and Fraud Schemes | Computer and Internet Fraud | Other Network Security; The Risk Assessment Process | Other Network Security | Financial Transactions  Computer and Internet Fraud 2011 Fraud Examiners Manual   1.1841 Profiling software authenticates users by monitoring their statistical characteristics, such as typing speed and keystroke touch. Smart card access devices are similar to an ATM card; like ATM cards, they are susceptible to loss and forgery. | 
11 | Computer and Internet Fraud 8 | If you were responsible for investigating an alleged fraud in the design and installation of a new software application at your company, which of the following internal control systems would you review to determine whether the company's internal controls appeared adequate at the time of the alleged offense? | Implementation controls | System maintenance | Computer operations | System software controls | 1.1843 | Financial Transactions and Fraud Schemes | Computer and Internet Fraud | Implementation Controls; Computer Operations; System Software; Data Files | Implementation Controls | Implementation Controls Implementation controls are those controls over the development of, or purchase of, a new application. All new system requests should be made in writing. A system development life-cycle methodology should be used for developing and implementing in-house or purchased packages. All new systems requests should be approved by the appropriate management level. Users should be involved in the project from design through final testing. All test results should be approved by both data center management and user personnel. There should be an implementation plan for placing the new system into production. |  
