1 | Basic Accounting Concepts 11 | Financial Transactions and Fraud Schemes | Basic Accounting Concepts | 16 | 10 | Historical Cost | Fisher, a Certified Fraud Examiner was hired to look at certain assets of ABC Company, which may be fraudulently overvalued by management. Fisher determined that the building cost $11.5 million, has a tax value of $11,250,000, and a recent appraisal for $14 million What generally accepted accounting principle governs how this land should be carried on ABC Company's books? | The historical cost principle | The value-added principle | The first-in-first-out principle | The market-to-market principle | Historical Cost Although | Historical Cost Although some exceptions exist, historical cost is, generally, the proper basis for the recording of assets, expenses, equities, etc. For example, a piece of operational machinery should be shown on the balance sheet at initial acquisition cost and not at current market value or an estimated replacement value. | 
2 | Cash Receipts Schemes 2 | Financial Transactions and Fraud Schemes | Cash Receipts Schemes | 0 | 1 | ASSET MISAPPROPRIATION: CASH RECEIPTS | Which of the following is the most common type of occupational fraud? | Asset misappropriation | Fraudulent financial statements | Bribery | Extortion | Asset misappropriations a | Asset misappropriations are by far the most common of all occupational frauds. There are three major categories of asset misappropriation schemes. Cash receipts schemes will be discussed in this section, fraudulent disbursements of cash will be addressed in the next section, and the following section will cover schemes involving the theft of inventory and other non-cash assets. | 
3 | Check and Credit Card Fraud 11 | Financial Transactions and Fraud Schemes | Check and Credit Card Fraud | 7 | 1 | Paperhangers | Persons who are expert at passing phony checks are sometimes called: | Paperhangers | Phonies | Launderers | Checksters | Paperhangers Paperhangers | Paperhangers Paperhangers are the experts of phony check passing. They frequently pick a particular establishment or store and observe its security methods. Any store that scrutinizes check writers’ identification is not a good target for a paperhanger. However, they will observe and select the least experienced or most lackadaisical of store employees to whom to pass the check. The paperhanger will then ask the clerk for cash back from the transaction and make the check out for an amount greater than the price of the purchase. In some cases, the checks being written are counterfeit; however, in other cases the checks are purposefully being written on a closed account. A variation of this scam is making a fraudulent deposit at a bank and asking for cash back. | 
4 | Check and Credit Card Fraud 14 | Financial Transactions and Fraud Schemes | Check and Credit Card Fraud | 9 | 1 | Check Kiting | The practice of recording the deposits of transfers between multiple bank accounts before recording the disbursements is called which of the following? | Kiting | An error | Lapping | Timing differences | Check Kiting Check kiting | Check Kiting Check kiting is one of the original white-collar crimes. It continues to survive even with a financial institution’s ability to detect kiting. In a kiting scheme, multiple bank accounts are opened and money is “deposited” from account to account, although the money never exists. | 
5 | Check and Credit Card Fraud 15 | Financial Transactions and Fraud Schemes | Check and Credit Card Fraud | 17 | 5 | Check Fraud Rings | The majority of check fraud in the United States is committed by which of the following? | Foreign crime rings | Individuals | Domestic crime rings | Large corporations | Check Fraud Rings Since t | Check Fraud Rings Since the late 1980s, foreign crime rings have been the cause of the majority of check fraud in the U.S. Most major financial institutions attribute more than 50 percent of all check fraud to organized crime rings. In 2007, an international task force monitored the mail in Africa, Europe, and North America and intercepted billions of dollars worth (face-value) of counterfeit checks. | 
6 | Check and Credit Card Fraud 4 | Financial Transactions and Fraud Schemes | Check and Credit Card Fraud | 25 | 2 | FINGERPRINT IDENTIFIERS | One recent innovation has significantly reduced the incidence of check fraud among banks. This technique is which of the following? | Inkless fingerprints | Signature analysis | Electrostatic detection apparatus | Video spectral comparator | FINGERPRINT IDENTIFIERS A | FINGERPRINT IDENTIFIERS A biometric fingerprint identifier  requires the check writer to match fingerprints with the account holder’s, which are on file. Banks reported reductions in check fraud of 40 percent after the machine was introduced in the mid-1990s. | 
7 | Check and Credit Card Fraud 8 | Financial Transactions and Fraud Schemes | Check and Credit Card Fraud | 29 | 5 | VIDEO SPECTRAL COMPARATOR | Able, a Certified Fraud Examiner, is looking at a check that he suspects is forged. It appears that the forger may have used correction fluid to white out the name of the payee. Able decides that he needs to call in a forensic document specialist. The tool that the specialist will most likely use to reveal the use of correction fluid is a(n): | Video spectral comparator | Biometric fingerprint identifier | Electrostatic detection apparatus | Correction fluid analyzer | VIDEO SPECTRAL COMPARATOR | VIDEO SPECTRAL COMPARATOR Forensic examiners use this tool to test questionable documents. The document is examined for photocopying and liquid paper under a controlled light source. Lettering added to a document can be detected with this device. | 
8 | Computer and Internet Fraud 19 | Financial Transactions and Fraud Schemes | Computer and Internet Fraud | 34 | 1 | Computer Viruses | A computer program that contains instruction codes to attack software is commonly referred to as a: | Virus | Hacker | Spoof | Smurf | A computer virus is a pro | A computer virus is a program that contains instruction codes to attack software. The attack might erase data or display a message on the screen. The computer virus can copy itself to other programs. This copy ability can affect large networks. In recent years, viruses have disrupted large networks and caused the expenditure of millions of dollars in staff and machine hours to remove these viruses and restore normal operations. | 
9 | Computer and Internet Fraud 41 | Financial Transactions and Fraud Schemes | Computer and Internet Fraud | 92 | 4 | Data Files | If you are responsible for the backup computer system, which of the following general internal control categories should you find in your company's detailed procedures? | Data file controls | Implementation controls | System software controls | Computer operations | Data Files Controls over | Data Files Controls over data files ensure that correct files are used for each production job and that adequate backup files exist. Data-file label bypass options should be disabled. A data file management system should be used to record and locate all data files. Data file backup copies should be made and stored in a secure facility. Off-site backup file copies should be maintained in case of a disaster in the data center. Utilities that can modify data files should be removed from the system and used only under management supervision. Live data files should not be used for testing. | 
10 | Computer and Internet Fraud 42 | Financial Transactions and Fraud Schemes | Computer and Internet Fraud | 85 | 1 | Other Network Security | If a computer security system includes profiling software, which of the following characteristics would it test for authorized access? | Typing speed | Fingerprints | Signatures | Palm prints | Financial Transactions  C | Financial Transactions  Computer and Internet Fraud 2011 Fraud Examiners Manual   1.1841 Profiling software authenticates users by monitoring their statistical characteristics, such as typing speed and keystroke touch. Smart card access devices are similar to an ATM card; like ATM cards, they are susceptible to loss and forgery. | 
11 | Computer and Internet Fraud 8 | Financial Transactions and Fraud Schemes | Computer and Internet Fraud | 89 | 12 | Implementation Controls | If you were responsible for investigating an alleged fraud in the design and installation of a new software application at your company, which of the following internal control systems would you review to determine whether the company's internal controls appeared adequate at the time of the alleged offense? | Implementation controls | System maintenance | Computer operations | System software controls | Implementation Controls I | Implementation Controls Implementation controls are those controls over the development of, or purchase of, a new application. All new system requests should be made in writing. A system development life-cycle methodology should be used for developing and implementing in-house or purchased packages. All new systems requests should be approved by the appropriate management level. Users should be involved in the project from design through final testing. All test results should be approved by both data center management and user personnel. There should be an implementation plan for placing the new system into production. | 
