rid|qid|dr|nwic|llcs|icp|opt1|opt2|opt3|opt4|pid|pass
1|Basic Accounting Concepts 11|1|2|1|0|The historical cost principle|The value-added principle|The first-in-first-out principle|The market-to-market principle|Income Statement Whereas|Income Statement Whereas the balance sheet shows a company’s
2|Basic Accounting Concepts 11|1|1|1|0|The historical cost principle|The value-added principle|The first-in-first-out principle|The market-to-market principle|Below is the income state|Below is the income statement for XYZ Company for its first 
3|Basic Accounting Concepts 11|1|5|1|0|The historical cost principle|The value-added principle|The first-in-first-out principle|The market-to-market principle|Financial Transactions  A|Financial Transactions  Accounting Concepts 2011 Fraud Exami
4|Basic Accounting Concepts 11|1|1|2|0|The historical cost principle|The value-added principle|The first-in-first-out principle|The market-to-market principle|Two basic types of accoun|Two basic types of accounts are reported on the income state
5|Basic Accounting Concepts 11|1|4|1|0|The historical cost principle|The value-added principle|The first-in-first-out principle|The market-to-market principle|From net sales, an expens|From net sales, an expense titled cost of goods sold  or cos
6|Basic Accounting Concepts 11|1|4|1|0|The historical cost principle|The value-added principle|The first-in-first-out principle|The market-to-market principle|Operating expenses are th|Operating expenses are those costs that a company incurs to 
7|Basic Accounting Concepts 11|1|3|1|0|The historical cost principle|The value-added principle|The first-in-first-out principle|The market-to-market principle|After subtracting operati|After subtracting operating expenses from gross profit, a co
8|Basic Accounting Concepts 11|1|0|1|0|The historical cost principle|The value-added principle|The first-in-first-out principle|The market-to-market principle|To summarize, the income|To summarize, the income statement ties to the balance sheet
9|Basic Accounting Concepts 11|2|2|1|0|The historical cost principle|The value-added principle|The first-in-first-out principle|The market-to-market principle|Financial Statements The|Financial Statements The results of the accounting process a
10|Basic Accounting Concepts 11|2|4|3|0|The historical cost principle|The value-added principle|The first-in-first-out principle|The market-to-market principle|According to AU section 6|According to AU section 623, Special Reports, promulgated by
11|Basic Accounting Concepts 11|2|3|1|0|The historical cost principle|The value-added principle|The first-in-first-out principle|The market-to-market principle|Although not specifically|Although not specifically noted in AU section 623, financial
12|Basic Accounting Concepts 11|2|1|1|0|The historical cost principle|The value-added principle|The first-in-first-out principle|The market-to-market principle|Other comprehensive bases|Other comprehensive bases of accounting, according to AU sec
13|Basic Accounting Concepts 11|2|4|3|0|The historical cost principle|The value-added principle|The first-in-first-out principle|The market-to-market principle|Consequently, the term fi|Consequently, the term financial statements  includes almost
